
Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,Cristhian Adames#,24,COL,121,256,225,25,49,7,3,2,17,2,3,24,47,.218,.304,.302,.607,53,68,5,4,3,0,0,645
2,Matt Adams*,27,STL,118,327,297,37,74,18,0,16,54,0,1,25,81,.249,.309,.471,.780,105,140,5,2,0,3,1,3
3,Tim Adleman,28,CIN,13,23,21,2,4,2,0,0,3,0,0,0,11,.190,.190,.286,.476,24,6,0,0,2,0,0,1
4,Ehire Adrianza#,26,SFG,40,71,63,3,16,2,0,2,7,0,1,2,13,.254,.299,.381,.679,81,24,0,2,4,0,0,6/45
5,Nick Ahmed,26,ARI,90,308,284,26,62,9,1,4,20,5,2,15,58,.218,.265,.299,.564,47,85,9,4,2,3,3,6
6,Jorge Alfaro,23,PHI,6,17,16,0,2,0,0,0,0,0,0,1,8,.125,.176,.125,.301,-16,2,0,0,0,0,1,/2
7,Albert Almora,22,CHC,47,117,112,14,31,9,1,3,14,0,0,5,20,.277,.308,.455,.763,102,51,5,0,0,0,0,8/79
8,Aaron Altherr,25,PHI,57,227,198,23,40,6,0,4,23,7,2,23,69,.202,.304,.293,.597,63,58,4,6,0,0,2,978
9,Dario Alvarez*,27,ATL,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
10,Alexi Amarista*,27,SDP,65,150,140,9,36,2,0,0,11,9,2,8,26,.257,.295,.271,.567,55,38,5,0,1,1,2,46/5791
11,Brett Anderson*,28,LAD,4,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
12,Chase Anderson,28,MIL,31,52,45,3,4,0,0,0,1,0,0,1,27,.089,.128,.089,.217,-41,4,0,1,5,0,0,1
13,Tyler Anderson*,26,COL,20,42,35,1,4,0,0,1,3,0,0,4,11,.114,.205,.200,.405,2,7,0,0,3,0,0,1
14,Robert Andino,32,MIA,13,24,24,2,7,0,0,0,1,0,0,0,4,.292,.292,.292,.583,61,7,0,0,0,0,0,/4756
15,Elvis Araujo*,24,PHI,32,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
16,Orlando Arcia,21,MIL,55,216,201,21,44,10,3,4,17,8,0,15,47,.219,.273,.358,.631,66,72,6,0,0,0,0,6
